rule,n_cands,median_voters,max_voters,mean_sigma_IIA,variance_sigma_IIA,mean_sigma_UM,variance_sigma_UM
borda,3,700.0,739.0,1.0,0.0,1.0,0.0
borda,4,3448.0,6210.0,0.9675925925925924,0.004736796982167352,0.9862350892891718,0.0006975434314472466
borda,5,3996.0,11788.0,0.977878787878788,0.0011975206611570244,0.9901518929280642,0.000518798115718422
borda,6,4531.0,13579.0,0.9852845528455285,0.0005165179456672618,0.9858769443089506,0.0006419836635547062
borda,7,4819.0,13547.0,0.9885173927727121,0.00022195555619427675,0.9794474848919841,0.0008694178246331349
borda,8,5289.0,13567.0,0.9911433172302737,0.00015297218640853948,0.9790613402759759,0.0008430277616436152
borda,9,5480.0,13909.0,0.9939131019639496,5.0359086786426966e-05,0.9727116493980988,0.0010601827133574987
borda,10,5910.0,14207.0,0.9946859903381642,6.524850832769337e-05,0.970048002354927,0.0009093188857828433
borda,11,6746.0,10376.0,0.9972027972027971,1.9802350804681786e-05,0.9768310967548699,0.0011136910203692737
borda,12,6934.0,10996.0,0.9926136363636364,7.887827134986242e-05,0.9544012537579587,0.0007529820869677037
borda,13,8532.0,9433.0,0.9976689976689976,6.791964833922803e-06,0.9689146752142895,0.0005038646401697087
borda,14,6924.0,6924.0,0.9963369963369964,0.0,0.9994224660698816,0.0
3-approval,3,700.0,739.0,1.0,0.0,1.0,0.0
3-approval,4,3448.0,6210.0,0.9328703703703705,0.01111861282578875,0.9585605445434631,0.007746642340948081
3-approval,5,3996.0,11788.0,0.9542424242424246,0.006118365472910926,0.9482151606489245,0.004213548149220501
3-approval,6,4531.0,13579.0,0.9733333333333335,0.0012130081300813008,0.9778949979986152,0.0013944892802903394
3-approval,7,4819.0,13547.0,0.9811212428233704,0.0007317062599564917,0.9788069610431377,0.001217848386556615
3-approval,8,5289.0,13567.0,0.9817402806533242,0.00045650207931041296,0.9674396394433605,0.002352873986547076
3-approval,9,5480.0,13909.0,0.9872881355932205,0.00018484337354804256,0.9560604948619621,0.002326514689501017
3-approval,10,5910.0,14207.0,0.9882850241545893,0.00010173321820034711,0.9450638649002135,0.002920170942843163
3-approval,11,6746.0,10376.0,0.9881118881118881,0.0002142095149088156,0.9533427321302017,0.0015879332088201965
3-approval,12,6934.0,10996.0,0.9924242424242424,6.02617079889809e-05,0.9404863209013903,0.0013374884552481985
3-approval,13,8532.0,9433.0,0.9914529914529915,3.788407051810346e-05,0.9541783159321205,0.0005300409053862657
3-approval,14,6924.0,6924.0,0.9990842490842491,0.0,0.9994224660698816,0.0
2-approval,3,700.0,739.0,1.0,0.0,1.0,0.0
2-approval,4,3448.0,6210.0,0.898148148148148,0.017018175582990396,0.9808796674400162,0.0011802386045106368
2-approval,5,3996.0,11788.0,0.9312121212121214,0.005116712580348944,0.9566532831730604,0.004978224190672682
2-approval,6,4531.0,13579.0,0.956178861788618,0.002254504593826426,0.9435113190902116,0.004610065822266223
2-approval,7,4819.0,13547.0,0.9634582911178656,0.0008615160431323745,0.9016642428447612,0.00636036340751428
2-approval,8,5289.0,13567.0,0.9707844490453187,0.0005592348921956548,0.8953799579740378,0.005430129036559947
2-approval,9,5480.0,13909.0,0.9745090126446059,0.00024592252554250365,0.8717423046292678,0.009146418896962043
2-approval,10,5910.0,14207.0,0.9791062801932368,0.0001544571246314579,0.8680590208149724,0.005613991371939534
2-approval,11,6746.0,10376.0,0.9802641802641803,0.00013760218888424,0.8634693291182435,0.003142552310081128
2-approval,12,6934.0,10996.0,0.9816287878787879,2.7225378787878906e-05,0.8546230273874549,0.0037388013641939306
2-approval,13,8532.0,9433.0,0.9862082362082362,7.037230230703395e-05,0.8590893354122421,0.005267620314186009
2-approval,14,6924.0,6924.0,0.9908424908424909,0.0,0.7656508988907306,0.0
plurality,3,700.0,739.0,1.0,0.0,1.0,0.0
plurality,4,3448.0,6210.0,0.9074074074074076,0.012259945130315496,0.8834867012157104,0.01938185946418762
plurality,5,3996.0,11788.0,0.9093939393939396,0.004669329660238751,0.82607047966138,0.02100807490234733
plurality,6,4531.0,13579.0,0.9267479674796749,0.0017411858021019226,0.8035253626377387,0.0168079310259778
plurality,7,4819.0,13547.0,0.9465383316447146,0.0007265463065329407,0.7754827033989908,0.01608718046943635
plurality,8,5289.0,13567.0,0.9597423510466987,0.0003846729555864291,0.7560968258171811,0.01421780863158155
plurality,9,5480.0,13909.0,0.9678840462738766,0.00020070463681871192,0.7414329422007417,0.015979659400120503
plurality,10,5910.0,14207.0,0.972222222222222,0.00023081052066559305,0.7219020144762405,0.01627295909742623
plurality,11,6746.0,10376.0,0.9753690753690754,0.0001921371385240851,0.7666665078264234,0.009877391457157575
plurality,12,6934.0,10996.0,0.9744318181818181,8.174787649219478e-05,0.7380625236709755,0.0039056437940500448
plurality,13,8532.0,9433.0,0.984071484071484,5.010960721916431e-05,0.8300531309367795,0.00795916110328397
plurality,14,6924.0,6924.0,0.9880952380952381,0.0,0.7164105106593951,0.0
stv,3,700.0,739.0,1.0,0.0,1.0,0.0
stv,4,3448.0,6210.0,0.9212962962962963,0.007694615912208502,0.8773362284722378,0.01933586847034319
stv,5,3996.0,11788.0,0.9345454545454549,0.0018369146005509634,0.820501387732049,0.021641718520861823
stv,6,4531.0,13579.0,0.9519512195121952,0.0007875206556943615,0.8078146700722387,0.017443689563188113
stv,7,4819.0,13547.0,0.9618709895305639,0.0003496233427898261,0.7658777188100049,0.015911414063181542
stv,8,5289.0,13567.0,0.9716471129514608,0.00021522111687993206,0.7546979121642043,0.014449732013370225
stv,9,5480.0,13909.0,0.9766276567124026,0.000115242680110124,0.7421277492497941,0.014038000900695308
stv,10,5910.0,14207.0,0.977536231884058,0.00013726496923304339,0.7196690974803874,0.015455733482729272
stv,11,6746.0,10376.0,0.9807303807303808,9.237072174135105e-05,0.7607387788627178,0.011119716139941553
stv,12,6934.0,10996.0,0.9787878787878788,7.403581267217663e-05,0.742900548123492,0.004108589968298882
stv,13,8532.0,9433.0,0.9865967365967366,8.003198562639127e-05,0.7976985784686602,0.006054473265388519
stv,14,6924.0,6924.0,0.9880952380952381,0.0,0.7164105106593951,0.0
